Time,current_position_1,current_position_2,current_position_3,error_position_1,error_position_2,error_position_3,controller_1,controller_2,controller_3
12.76,-0.00850194303779721,-0.029264580936012,0.841999201104045,0.00850194303779721,0.029264580936012,-0.0419992011040449,-0.0032566623562013,-0.058564077925845,-0.394496659815311
12.8,-0.00903385589664479,-0.0295134483793167,0.841347901150584,0.00903385589664479,0.0295134483793167,-0.0413479011505842,-0.00279085345818518,-0.0595562198527907,-0.391582335969061
12.84,-0.00948891192318173,-0.0298555712277769,0.841008571907878,0.00948891192318173,0.0298555712277769,-0.0410085719078779,-0.00316718957810687,-0.0604515114275998,-0.394615074257553
12.88,-0.00982803610368412,-0.0298143896695797,0.840734450146556,0.00982803610368412,0.0298143896695797,-0.0407344501465559,-0.0038820509273187,-0.0576199668968459,-0.39521210533455
12.92,-0.0101583884755161,-0.0297955083759737,0.840389577671885,0.0101583884755161,0.0297955083759737,-0.0403895776718854,-0.00379604247140634,-0.0578392951431766,-0.394413630864024
12.96,-0.0105611631967022,-0.0301404209674267,0.840092269703746,0.0105611631967022,0.0301404209674267,-0.0400922697037458,-0.00307144818582572,-0.0607653053344528,-0.394821401100606
13,-0.010894924656782,-0.0304456072318018,0.840121952816844,0.010894924656782,0.0304456072318018,-0.0401219528168439,-0.00343442073369671,-0.0606497132290529,-0.39818633800894
13.04,-0.0110608944711727,-0.03056518264869,0.83982172422111,0.0110608944711727,0.03056518264869,-0.0398217242211103,-0.00460468030129617,-0.0593663532541201,-0.394817350528389
13.08,-0.0113641220702608,-0.0305433355474895,0.839528171345592,0.0113641220702608,0.0305433355474895,-0.0395281713455915,-0.00343183408748703,-0.0583580758932718,-0.39481697474122
13.12,-0.0113929737401696,-0.030665806818654,0.839546410366893,0.0113929737401696,0.030665806818654,-0.0395464103668928,-0.00545538464422843,-0.0595505388655705,-0.398023069562763
